match_no,date,stage,venue,city,innings,batting_team,bowling_team,batting_team_full,bowling_team_full,over,legal_ball_number,is_legal_delivery,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,runs_this_ball,is_wicket,wicket_type,player_dismissed,fielder,total_runs,total_wickets,wickets_remaining,balls_bowled,balls_remaining,crr,is_boundary,is_dot,phase,target,runs_to_win,rrr
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,12.6,78,1,Angkrish Raghuvanshi,Trent Boult,1,0,0,0,0,0,1,0,,,,144,2,8,78,42,11.08,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,13.1,79,1,Angkrish Raghuvanshi,Shardul Thakur,0,0,0,0,0,0,0,0,,,,144,2,8,79,41,10.94,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,13.2,80,1,Angkrish Raghuvanshi,Shardul Thakur,1,0,0,0,0,0,1,0,,,,145,2,8,80,40,10.88,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,13.3,81,1,Ajinkya Rahane,Shardul Thakur,0,0,0,0,0,0,0,1,caught,Ajinkya Rahane,Hardik Pandya,145,3,7,81,39,10.74,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,13.4,82,1,Rinku Singh,Shardul Thakur,1,0,0,0,0,0,1,0,,,,146,3,7,82,38,10.68,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,13.5,83,1,Angkrish Raghuvanshi,Shardul Thakur,4,0,0,0,0,0,4,0,,,,150,3,7,83,37,10.84,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,13.6,84,1,Angkrish Raghuvanshi,Shardul Thakur,0,0,0,0,0,0,0,0,,,,150,3,7,84,36,10.71,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,14.1,85,1,Rinku Singh,AM Ghazanfar,4,0,0,0,0,0,4,0,,,,154,3,7,85,35,10.87,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,14.2,86,1,Rinku Singh,AM Ghazanfar,2,0,0,0,0,0,2,0,,,,156,3,7,86,34,10.88,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,14.3,87,1,Rinku Singh,AM Ghazanfar,1,0,0,0,0,0,1,0,,,,157,3,7,87,33,10.83,0,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,14.4,88,1,Angkrish Raghuvanshi,AM Ghazanfar,0,0,0,0,0,0,0,0,,,,157,3,7,88,32,10.7,0,1,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,14.5,89,1,Angkrish Raghuvanshi,AM Ghazanfar,4,0,0,0,0,0,4,0,,,,161,3,7,89,31,10.85,1,0,Middle,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",Mumbai,1,KKR,MI,Kolkata Knight Riders,Mumbai Indians,14.6,90,1,Angkrish Raghuvanshi,AM Ghazanfar,6,0,0,0,0,0,6,0,,,,167,3,7,90,30,11.13,1,0,Middle,,,
